id,Տրվել է(օր),Տրվել.է.խանութ.,Սեռ,Տարիքային.խումբ,Համաձայն.է.ստանալ.SMS,Շրջանառություն,Կուտակում,Վճարում
2706,03.05.2019,BATA Ավան,Женский,45-ից բարձր,v,1873200,105686,96000
2971,30.05.2019,BATA Պողոտա,Женский,25-ից 45 տարեկան,v,480200,4136,
BH011244,05.07.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,407900,6438,6300
2991,10.02.2019,BATA Պողոտա,Женский,45-ից բարձր,v,322400,3003,1600
2703,27.01.2018,BATA Ավան,Женский,25-ից 45 տարեկան,v,1004400,42347,53000
2916,14.12.2019,BATA Պողոտա,Мужской,25-ից 45 տարեկան,v,2570100,189788,189500
BH011359,17.02.2019,BASIC CENTER Հանրապետության,Женский,,v,31200,,
BH054224,19.01.2018,BATA Դալմա,Женский,25-ից 45 տարեկան,v,130300,2696,
BH103572,08.03.2018,BATA Դալմա,Женский,25-ից 45 տարեկան,v,180300,2452,1100
BH103565,05.03.2019,BATA Դալմա,Женский,25-ից 45 տարեկան,v,128200,3687,1400
BH104609,11.10.2019,BASIC CENTER Կոմիտաս,Мужской,25-ից 45 տարեկան,v,223300,1822,
BH103749,28.02.2019,BASIC CENTER Ավան,Мужской,25-ից 45 տարեկան,v,170000,57,
BH101159,28.09.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,48600,207,
BH101287,18.02.2020,BATA Դալմա,Женский,25-ից 45 տարեկան,v,13800,147,
BH101045,05.07.2018,BASIC SHOES Երևան Մոլ,Мужской,25-ից 45 տարեկան,v,200500,307,
BH102212,29.05.2019,BASIC CENTER Ավան,Мужской,25-ից 45 տարեկան,v,131200,1558,
BH102395,24.11.2019,COOLCLUB Երևան Մոլլ,Женский,45-ից բարձր,v,101700,2324,2700
BH102205,10.03.2019,BASIC CENTER Աբովյան,Женский,18-ից 25 տարեկան,v,149100,,
BH102186,12.03.2018,BASIC CENTER Հանրապետության,Мужской,25-ից 45 տարեկան,v,399733,18371,16400
BH105404,16.06.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,94600,2712,
BH105660,14.08.2019,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,138700,1586,
BH102318,20.06.2018,COOLCLUB Երևան Մոլլ,Женский,45-ից բարձր,v,78400,1153,1200
BH103304,08.04.2018,BASIC CENTER Դալմա,Мужской,45-ից բարձր,v,125500,4529,3700
BH102339,08.03.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,259900,7027,7100
BH103277,09.05.2018,COOLCLUB Երևան Մոլլ,Мужской,25-ից 45 տարեկան,v,158100,1644,
BH102354,05.07.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,72100,2251,2100
BH102789,23.11.2019,BASIC CENTER Հանրապետության,Женский,,,109400,305,1500
BH102835,19.01.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,141200,3085,
BH103149,05.07.2019,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,180500,2587,
BH102841,05.08.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,66100,1463,
BH105918,17.12.2019,BATA Պողոտա,Женский,,v,1110267,86235,88700
BH105973,22.05.2018,COOLCLUB Դալմա,Женский,45-ից բարձր,v,1043933,115253,109000
BH104628,04.12.2019,BASIC CENTER Կոմիտաս,Женский,25-ից 45 տարեկան,v,223500,6073,6500
BH105250,23.01.2018,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,296800,5542,500
BH105948,25.09.2019,BASIC CENTER Ավան,Женский,,v,976867,36230,39400
BH105097,19.01.2018,BASIC CENTER Ավան,Женский,18-ից 25 տարեկան,v,260800,4133,3800
